content,sentiment_labels
cant register register still need waiting system uncrashed,-1
nicr,1
sangat bagus,-1
ok,1
its a amazing app.. specially the *nykaa wallet is unique..,2
terrible amount ads covering content making unpleasant play avoid,-1
great apps,2
update vaccination cert missing ang cannot update status bad apps,-1
missing changelog,-1
loop,1
Love it,2
great,2
awesome c info finger tips ever created bravo,2
good application easy user,2
fast convenient,2
tq informative,2
easy register premises however app bit slow,-1
tremendous faboulus application implement installing sigth using application android ios iphone hopefully us shall known global citizen endured ensures strong fight plus intelligence needs build founded cures validity vaksine ag covid deseases end year alhamdulillah amin,2
issues resolved speedy response,-1
always stay alive,2
cannot open sejhtera,-1
best app,2
Love it,2
thank creating great app,2
nice apps,1
"I love Nykaa for its wide collection of brands but, the one thing I don't like is the packaging. You use way too much plastic/bubble wrap for your products. It would be great if you could make your packaging more sustainable! Thank you.",2
ok,1
easy use,2
app helpful,2
best apps,2
Very bad app i need to return a product they treated me very badly so ihate it,-1
user friendly,1
cant use login inside personal information stranger terima kasih atas pertolongan menyelesaikan masalah saya,-1
awesome,2
keeps locking tried uninstalling reinstalling help done fix,1
good,2
cant update personal data,-1
osm,2
best,2
cant describe wow great apps tatap warisan,2
"It used to be a useful app before but now its all loaded with bugs and forever time taking app, doesn't open any section. If not gonna be fixed will be uninsatlling it soon.",-1
informative maintain service medical purposes users,2
cant register otp still stuck backdoor,-1
logout information including vaccination shown means im vaccinated oh god please upgrade,-1
love,2
cant update covid status goverment requested uninstall history gone problem im facing make vulnerable ur summon update ur apps lah million,-1
great,2
easy convenient,2
"Be very careful most of the products are counterfeit, and worst kind of customer support, they simply will confuse you saying yes we have received the money and 2 text later they will say they haven't received the money, and won't give you your order status",-1
excellent app must,2
slow,-1
excellent,2
like much,2
ok terbaik untuk semua kita jaga kita,1
woow best football ever seen recommend everyone,2
easy navigate,2
bad,-1
ok la,1
mysejahtera management know deal rakyat malaysia problem apps enough manpower deal think email thru helpdesk nothing change oh want say f word,-1
"PATHETIC SERVICE .. i have faced issues with delivery for 3 consecutive times.. this is the last time I'll be using it. Message showing delivered, with no sign of delivery. Delivery personnel calling and harassing. The company is doing nothing to resolve the issue.. i just want my money back.",-1
awesome,2
really glad see android user interface great example press pause somehow program fast forwards watched items list stopped working months ago stop middle episode come back episode always starts back beginni full review,2
Worst app ever I order a shoe and size different there are no exchange option in my order before purchasing the product they within 7 days u can exchange it,-1
nice,1
nice application,1
app good doubt courier service terrible experience aramex courier service dnt deliver stuff pm,2
stupid app stuck white screen unable load cause waste time cannot enter premise without scanning improve incompetent,-1
I love nykka every damn thing is available here,2
cant open app even install many time,-1
ok,1
useful convinient,2
worst game played mass suddenly game angry thought would router fault hated,-1
ca even register blankpage cannot load worst app ever,-1
great,2
able login also bad developer,-1
Worst Pathetic delivery service.. By displaying offers you don't get rating.. Be prominent n quick in delivering.. It's so pathetic the person should keep on waiting,-1
friendly user,1
still confuse require complicated useless apps,-1
"It's helpful comes health problems. When start noticing body's feeling well, start assessment find yourself. This informative sensitivr user. I've using since, I love it.",2
Ossmm app... I loved it alot,2
application helpful covid pls go away earth,2
work,1
wanted enjoy game hacked death many people become boring pot ball back u started turn super fast fiber bb connection badly maintained app,-1
dont like waste batery stupid apps,-1
ok,1
kept updated current issues la,-1
best app ever ez use give,2
loved it,2
very slow,-1
excellent,2
cannot update whatever reason stupid,-1
App is not working in my phone for last few months!!,-1
ok,1
awesome,2
great,2
great,2
vosan wong,1
nice app,2
bad experience useless stuck check page pls upgrade system,-1
great,2
NYC app,2
typing supported write notes handwriting swiping screen irritating give star supports normal typing system thanks,-1
easy use n really useful,2
hello huge tip submitting overseas singapore vaccination please send screenshot instead pdf file verfication use pdf try submitting times work heard malaysia cousin say submit screenshot works good luck hope solve frustration guys faced,-1
slow respond tap many times make work app takes long scan already year still improvement something,-1
easy use,2
easy use,2
great app best contact tracing needed,2
easy use,2
ok,1
like much,2
full info civillian tq,2
Wonderful app. I have purchased innumerable times and I'm extremely satisfied.,2
great application giving new information covid everytime,2
love app bt problem cancel option app,2
good,2
bug,-1
trustworthy,2
working cant even reset password,-1
These people don't have any exchange policy even for a different size. What an trash can this website is!,-1
best way,2
easy use,2
easy use lot feature,2
app excellent job good job developers,2
important new listen easily,2
Poor experience. Please don't buy electric items from this site. And there cc customer care sept is pathetic. Everytime just for formality mails you.. No solution at all.,-1
vaksin slow,-1
rubish app tht ask people used stuck stupid register keyin please update better la,-1
good good good,2
times create account still cant login,-1
App works fine. what it provides is worth more,2
user friendly,1
useful notification,2
dear mohammad nawab like malaysia oll time thank mysejahtera,2
excellent,2
gives discounts,1
fake app stolen personal information last week friend going onboard flight someway sing hundred thousand contact suddenly app shows become red need quarantine immediately lost chance fly place sing contract blame boss one day app back normal app maker say fault say sorry gonna pay lost air ticket contract pay back,-1
usefull apps,2
ok,1
excellent,2
great,2
cuba buat minta suhu badan,-1
loved it,2
always scan please fix,-1
everything ok,1
ok,1
hopefully true,2
ok ok ok,1
time favorite app,2
great app easy works well,2
usefull,2
ok,1
slow detect qr,-1
great app eases life covid,2
cool,2
Frustrating reality,-1
verry poor application reset password still cannot login,-1
ok,1
mysj trace actually works bluetooth location nothing happens anyone helpdesk many comments mysj trace yet response useless buggers,-1
slow,-1
love game nice,2
gud,2
transfer dependant vaccination record digital certificate mysejahtera new number,2
cant even reset password cant login,-1
"Love shopping at nykaa. Ample of choices,brands varieties.discount on every purchase too.",2
Not good agar and didn't update to phone,-1
thank,2
nice,1
search interests actually interest instead given select might care missing something,-1
easy use,2
worst apps u put check kerajaan patut menyenangkan rakyat bukan menyusahkan rakyat,-1
Best deals.,2
excellent,2
idk newer updates made difficult use try tap listing view map shift somewhere else pull listings frustrating,-1
excellent,2
cant answer question question doesnt even come said acc activated bit,-1
I just love it,2
poor system,-1
love varieties products offered app also find affordable products,2
best app,2
best apps,2
Lovely app Loved it and enjoyed the experience,2
excellent,2
easy use informational,2
fast easy use,2
Fab,2
best app,2
"super duper, awesome, extraordinary, I love nykaa",2
easy use,2
shop cosmetics comfort home,1
hope sejahtera make nd dose different color like green blue rd dose color yellow,1
please remove mysjtrace features bothers users including bluetooth always check button better,-1
easy fast,2
get home assessment tools h bug right message fulfill want fulfill bug home assessment tools h,-1
awesome,2
another opportunity ensure safety measures place location crowd thank ensuring rakyat people like follow sop always,2
h cant use log view semuagagal,-1
nice,1
ok,1
it's so easy to get cosmetics at ur doorstep with such affordable prices...loved it!,2
omg best ever cuz last time performed poorly maths lost scholar badge math studying hard using math study books got scholar badge thank much,2
much easier using,2
friendly user app,1
terlalu banyak sangat bug dan hang menyusahkan nak log,-1
ok,1
horrible id verification,-1
love this,2
yoko,1
Horrible horrible horrible I had a product missing from my order. These people are not ready to give me resolution all that they are saying is that we cannot do anything about it as the package had the same weight. They really have no value for hard earned money. They just fool customers.,-1
love app,2
better carpentry would like share options children want check well facebook friends,2
nice many function best meet friend,2
forgot password want reset password let click submit button click submit button many times nothing happens tell useless app,-1
mysejahtera keep stoping cant open,-1
ok,1
Very bad if we order at last minute even we cant cancel....very bad,-1
Customer service sucks.. I rcvd a damaged product and I couldn't return it.. I've tried sending messages n photos of the product to nykaa but it always gets stuck on d loading screen.. It was a very expensive product.. Now wht am I supposed to do?,-1
works great,2
Awesome,2
cannot refresh status since th nov already make report helpdesk multiple times seem nothing action taken please fix bug rate app accordingly,-1
install load phone factory change lost everything,1
hi cannot updates sejahtera apps keep loading u help,-1
I love this app,2
friendly user,1
think helpdesk solution issues think sometimes need talk human really understand help us solve issues see option able talk customer service new update problem still solve numerous email sent get automated reply emails seems care right rest case,-1
great serviced,2
great application,2
Awesome app,2
Love it,-1
fast scanning,2
overall easy use houses meditation programs purchased place allows stream time makes participating day programs breeze gave four stars hang becomes stuck sometimes,2
Kabhi kabhi wrong product bhajte ha.so guys plz cheak ur product when delivery boy ur front side.,-1
excellent,2
friend told liked fanny pack downloaded checked love nice items reasonable prices,2
sometimes check qr scan takes little bit longer usual especially using lrt mrt hope developer could able consider providing alternative method qr code scanning entering unique id least entering premises public transports user already ready show check receipt please create another check button individual scanning takes time please improved user workflow,-1
works reliably need,-1
bad,-1
"Only few brands available.and one can't filter products according to skin type, concern, price range ,. A big room for improvement.",-1
excellent,2
remove add sign sure,2
easy use,2
Awesome!!,2
Great deal and 100% real products with super fast delivery,2
great apps know low high risk area,2
ok,1
trust worthy,-1
helpdesk helping giving simple instruction refresh status done problem still people behind mysejahtera pihak berkuasa job simply click reply request complete daily job,-1
"Worst app, they maintain 2 carts separately for the site and desktop and 
even if you alter the items in your cart and order it from site without 
checking so the changes will not get altered. Disappointed and angry.",-1
like new update nice,1
good,2
excellent,2
"worst app ever....I placed an order of combo lipsticks out of which one was defected...they gave me ""not for sale"" sample lipstick. On top of it, it has been over 18days and no one has come to pick up the return order. Worst service ever. My first and last order. edited: if only I could give it a negative rating. Only one word for this app ""Pathetic"" update: after approx 2 months they returned the order and have initiated the refund. The customer care executive Chirag Patel was helpful.",-1
easy track monitor movement history,2
shoulders,1
lovee,2
excellent reassuring informative,2
excellent,2
really simple nice,2
nice app,1
kenapa saya sudah vaksin dos lengkap masih tidak ada di sejahtera sedangkan kawan saya sudah ada adakah bug ada sebagainya,-1
Great,2
update weeks dealing adobe customer started working today reverted back crashing soon choose share anything weeks crashing try share photo editing please fix pointless crashes,-1
"Initially the app was fantastic with genuine products and on time delivery but now the products are of the cheapest quality, delivery is never on time and you do not get any call from the delivery person before he postpones your shipment. You will have to track the status of your order to know where it is lying. Terrible.",-1
app terrible refresh ca logout ca update vaccination status even uninstall reinstall problem still ca solve problem,-1
fast check,2
cannot change name change save still appear new name back old name worst,-1
many ads unable watch news much wait,-1
Facing so much while login...,-1
Best app to find standard make up products,2
easy safe,2
excellent approach,2
This good people send what's working plz check,2
best,2
thanks government apps,2
please help open app says stopped please fix,-1
new update superb,2
helpful aap,2
every day sign google account please fix irritating keep signing also please add south african rand currency frustrating calculate items price stars,-1
lost phone simcard use another simcard cant login register number phone email,-1
thanks information feedback,2
forgot password reset type email cuz register using email stated email id invalid went help desk email regarding problem going go second vaccine appointment log account,-1
sound keeps dialing hung go back normal screen something wrong asus,-1
completed vaccination since dismay date vaccination details updated mysejahtera accounts tried raised issue mysejahtera helpdesk multiple times thing received default reply email even approached vaccination staff dewan wanita vaccination centre help still action taken raised issues social media problems solved,-1
nice app,2
mysejahtera violating privacy human rights people force show thier account various places shop mall offices premises people movement track forcefully useless app,-1
fast,2
great,2
Don't buy product from this application Totally fraud application Humble request,-1
takes lock screen every time swipe remove comes back sometimes times get lock screen frustrating outside works fine concerned taking lock screen,2
ok,1
fast reliable,2
account login problem reset password working thanks response mee,-1
informative resourceful,2
best,2
excellent apps,2
receiving damaged and duplicate products dnt buy from nykaa,-1
nice apps malaysia government,1
deceptive deleting ordering pages shown work without per month subscription foxit business costs upfront pdf max xodo pdf viewer free charge like scan pdf feature works much better cam scanner office lens,2
good genuine products,2
fully vacinated get certificate still assessment since may system automatically detect show certificate right since everyone ic number different go register vaccine one time,1
love,2
updates mytraces got check unable check terrible,-1
awesome,2
poor app,-1
please fix app log install still open app get,-1
great apps,2
easy use,2
Best of all..,2
nasib baik dah cucuk kalau tak saya kasi satu star thank,2
easy use,2
easy use,2
excellent service,2
nice app end buying powerbanks instead open mysejahtera,1
easy convenient straight forward apps ages use,2
great application great joob malaysia,2
After installing app is not loading. It says ' failed to load' and 'error: refld e25ac740 ' i have foreced stopped the app and deleted the cach but it didn't work. Help.,-1
bad experience app,-1
super annoyed app asking enable bluetooth every hour huawei phone sends notifications saying app trying enable notifications please fix violation privacy drains alot battery,-1
"Pathetic experience, if you are returning the product for any reason be ready for the deduction of amount and that too without any reason. Chat team do not respond properly. It do not reflect order status also whether the product is received or returned even customer care also do not have correct information about it",-1
forget password bad cannot reset password using phone number helpdesk help think talking robot reply mail send reply since morning dunno want change password st change phone email reset password using email get reset link hope help found confirm govt app,-1
ok jer,1
I uninstalled your app because you have Bollywood investor ....... And not going to purchase,-1
Too good,2
best,2
news vaksin booked,1
ca find redeem anywhere really getting annoying,-1
ok,1
slow respond,-1
always update latest news,2
already complete vaccine didnt appear updating app please fix,-1
bad app update app suddenly become yellow status although going weeks ask helpdesk wanna refill form also response,-1
thank frontliners thank government,2
I love it,2
mysejahtera app easy convenient use especially checking places app need fill details time check daily updates covid useful well,2
awesome,2
Very bad experience in the recent days. They kept the order to be confirmed for two days. After the order was shipped it was delivered to the destination yesterday at 7am still they did not attempt for delivery. And even I am not sure if they will deliver it today also. They are just making an excuse of pandemic.. nykaa wake up.. everything is open now and supply chain is normal so stop fooling the customers repeating the same thing on one mode. Highly disappointed.,-1
help alot,2
ok,1
Awesome,2
app confusing call say daughter positive yet app telling us negative one follow also dependent updating daughter positive yet updates status years old cant even called relevant party app computerised reply earth complain thay computerised disaster helpdesk helping,-1
Superb,2
useless crony app msian gov even use data app lockdown whole malaysia actually use app nothing gov punish us heavily use gov trying hard make app cronies relevant much tax money spent app limited use,-1
good aap,2
good apps easy use awesome,2
easy fast use,2
nice,1
"I recieved defective product and when I am trying to raise my concern, I am unable to upload the image. I ordered mascara and it is too dry to use. Highly upset.",-1
Worth it,2
nice apps,1
beautiful like book infront read take notes ovee section page read highlight change colours underline strike word sentence really made enjoy reading would nice organise books customised order opposed chronological order regardless amazing app love,2
app good products r genuine offer free gift click bait twice consecutive orders offer product availed hr introduction app banner never shipped time pretext offer valid stock last within first hr hr sale offer product gets company bother take customer care support cell worst ever make wait atleast mins reply chat took hrs mail back,2
lot easier use selangor selangkah need keep keying data come temperature record included,2
good,2
great,2
Bad,-1
Awesome one!!! Loved it,2
okay thanks,1
easy operate,2
easy use,2
slowly open app,-1
Safik Ahmed @995 gimel com,2
ok,1
excellent,2
slow perlu diperbaiki lagi bagi apps lebih lancar forgot passwor tak function tak dapat sign,-1
oke je,1
whenever number verification say cannot plzz tell,1
gift alok bang,1
user friendly,1
user friendly fast,2
wow apps mind blowing superb,2
stuck isoalan try answer comeout invalid employee id cant use,-1
love . simply,2
I have ordered a product but the product was open and its contents has been leaked.. So i requested for a replacement 1 week back.. No response yet. What should i do?,-1
app working fine thanks,2
lovely,2
excellent,2
good shopping,2
great,2
mysejahtera apps friendly useful helps know notify hotspot latest mysj trace hope lower covid cases,2
best sgt membantu untuk menghantar kes ke ig dan whatsapp,2
fix bug pls,-1
excellent,2
I love you guys,2
great,2
Payment cannot be processed,-1
Love it,2
Love this app,2
excellent application,2
app health declaration risk high high even though im declaration please improve app asap also emailed mysejahtera support give respond,-1
excellent,2
yes awesome,2
exciting experience meet someone dont idea,2
great apps,2
great app government improved newest update,2
friendly apps,1
great,2
sometimes mall cannot use check says valid maybe improve,-1
nice products,2
hassle especially area uas poor tovery poor internet coverage,-1
useless,-1
nice,1
please laa,-1
great app accurate information,2
best online makeup store,2
okay ah,1
easy faster n excellent,2
informative,2
convenience fast,2
nice,1
app basically useless crashes fails scan qr code time,-1
like,2
disappointed much please fix app still cant use,-1
The worst app ever. They don't care about general customers apart from bloggers. They even can't deliver your products within the range of expected date. I have to wait for 2 weeks to get my products whereas they promise to deliver the order at your doorstep from 1 to 4 business days. And their customer service is horrible. Every single day they promise to deliver the order by the end of that day. But they never do accordingly. Really disappointed by Nykaa.,-1
user friendly,1
user friendly really truly appreciate effort,2
excellent,2
problem login sejahtera,-1
excellent,2
Very super,2
Hessel free,2
vaccine registered february bad waiting list long reply anymore,-1
ok,1
ok,1
update emoji used normally,2
Do not order from this app worst service ever worst customer support i have ever seen....rly....deliver damage product and if try to return they clearly deny for return of the product worst service i have experienced twice...,-1
informative helpful comes covid info,2
tried logoff uninstalled reinstalled problem persist please advise,-1
excellent,2
easy use,2
apparently log view pdf idiotic,-1
best guarded app,2
loving,2
cannot sign account password phone number correct please fix problem,-1
"Nykaa is the best place to shop for cosmetics and any other kind of care. The variety of products is insane. They cater to you as per your budget. Whether you want to buy high-end brands or the usual low range ones, the quality is amazing and legit. I have bought many products by just reading reviews, without knowing anything about that brand, yet it worked for me. Definitely a ""you can trust them blindly"" vibe. Thank you so much Nykaa for making life easier.",2
please implement check button make tracing easier since people find annoying check one one end forgetting thank,-1
By fgu,2
excellent service updates,2
Worst service ever ! I have received a faulty product and when I sent an email to the customer service there is no response at all ! Waste of money.,-1
apps make easier feel safe every steps move,2
My best friend honestly!,2
user friendly,1
user friendly,1
awsome app time delivery genuine products great discount,2
works needed,-1
well,2
Super products,2
awsm,2
ok,1
delivery takes a lot of day as expect more than that when i ordered they told me approx 3-4 days but it takes more than 13_15 days.. the worst experience to shop with nykaa ..,-1
great app keeps motivated love day challenge end sight even days,2
nice,1
good experience,2
best n everr,2
useful app,2
great information,2
easy use,2
great,2
nice,1
"I have bought babyliss hair straightener pack of worth Rs3849 in aap they showed 10 accessories but when i got my product 1 assessories was missing. When i complained about it they show no interest. You can't trust Nykaa on costly items they don't care about their costumers. They only trouble people i would suggest don't use Nykaa for costly items, your money will get completely waste.",-1
great,2
ok,1
crashing matter many times reinstalled fix please,-1
please tell nyka delivery possible dimapur nagaland says temporary disabled please help,-1
ok,1
good quality products,2
Best and trust worthy app i've ever come across,2
Nil,-1
easy use,2
great,2
great,2
easy,2
connection bad home full connectio yet tell connection connection slow plus could start us place certainly going get eaten immediately make price skins cheaper,-1
lately app got many problem,-1
great,2
really hate adobe reader fact really like best available viewing pdf files gave single star recent update stopped scanning documents unless separate adobe scanning documents big deal actually delivered new deliver feature small part another app unless adobe provide stable reliable scanner going give adobe star rating,2
nice app,1
terukk bad app fully vaccinated still certificate,-1
informative,2
practical n user friendly,1
excellent,2
latest update mysejahtera app totally usable even wanted check simple check number cases malaysia please fix,-1
bad plz give coin used tq,-1
worst service ever!!it has been 2 days every morning i get message that my order is out for delivery and will be delivered by today then at around 7 pm i get message that my order is could not delivered bcz i had reschedule!! but there was no attempt made...i didn't got single call from the delivery man .and when i called customer care 3 time they all told me that it will get deliver today !! think before you order...and i already paid for my order online n there isn't any other way to cancel it,-1
nyka go application beauty products suggestion offers cashback,1
great,2
easy use usefull app,2
useful app,2
someone assist called reply email response cant updated status,-1
okay,1
i like nyka product,2
excellent app tracing covid,2
next update app mysejahtera showing version new update version,2
game cuts sometimes u loose turn sometimes causes match loss also spend money recharge stick whats play real bca pool effort b effect,-1
excellent,2
sooper products,2
"This app is very great to use, Nykaa means worth it.. awesome packing super fast delivery. Original products at lesser price",2
qr code sometime cant detect,-1
awsom,2
Awesome,2
forget password lost digital certificate login well ridiculous sir kmow also rd dose coming poor mysejatera,-1
load time app really slow,-1
useful,2
sometimes opening little slow,-1
nice app,1
Loved it,2
I love this app,2
Outstanding,2
cant register,-1
informative app user friendly handle,2
best,2
fast,2
great,2
ok,1
bagus,-1
i bought a maybelline new york fit me matte+poreless foundation in shade 128 and guess what they send me.... a MADE IN CHINA product.!!!!! why did they send me a made in china product which is not a genuine product... the app promises only genuine product but i guess not.... very dissapointed with the product i recieved and will never order again from this site... its such a waste of my money and such a disappointing app.... such a SHAME... NYKAA!!!!!!!!!,-1
worst app ever seen got problem authorities never help properly shame shame,-1
everyone use easy use check place,2
fast reaction,2
good apps info,2
easy quick glad ads always popped,2
awesome,2
ok,1
good,2
easy use time hard scan hope improve,-1
easy check,2
I would prefer Amazon or Flipkart instead of nykaa because it has no return or replacement options. I have uninstalled your app and will never purchase again as my 2nd purchase it self is disappointed one. will inform my frnds also that nykaa doesn't has the option of shade replacement or return. If you don't give replacement pls take back your product and give me my refund. It's just lying useless in my vanity.,-1
best app,2
app fixed us noticed problem update forgot check left place suggestion implement notification reminder regarding check function certain time places supermarket hours average time spent make reminder place categories second suggestion implement timer notification timer function either auto check premise,-1
awesome,2
apps berguna buat masa sekarang tapi nak register punyalah banyak problem tolong fix apa yang patut,-1
idiot please update stupid app put name changing option app go,-1
easy use,2
looking forward app,1
excellent,2
hey nykaa account getting logged plz fix issue,-1
please updated app currenly hotspot status,-1
please fix,-1
One stop solution for all the beauty and wellness products from so many years. I trust only nykaa..,2
poor update digital certificate,-1
fourth day mysejahtera app function properly detected casual contact symptom yesterday update covid status different device please fix p,-1
sejak dilancarkan tak ada masalah app okay sampi la sekarang makcik suka,1
best,2
bad,-1
awesome shopping app for buying cosmetics and girly stuffs,2
slow opening app,-1
good,2
ok,1
nice,1
work well,2
apps ask update nothing inside update may side something sejahtera damn slow,-1
poorly designed,-1
reinstall apps work well,-1
"Not great anymore. Used good recent update. Now keeps telling ""Out memory"" midway document. I'm using Samsung tablet enough spare memory.",2
It has very fast service and also provides various discounts,2
superb,2
great enhancement app features including family members info scanning also good app let user know new cases particular area particular week scan cautious thanks,2
"Their Refund policy suck...After a time, they don't even respond to your email.",-1
really love wish like real pool sink stripe break stripes sucks getting beat someone shooting random winning shoot full power hoping sink balls every pocket called love,2
okay,1
randomly get news alerts great takes main app story clicked sometimes story even list stories available share function garbage want share link usable option copy clipboard paste share requires delete title article links store google play store copied url get article,2
They have really bad service....my order is cancelled because of their mistake and it's been a month and i still not get my refund... don't shop when their is no COD,-1
cant install sejahtera,-1
mysajahtera block reactive account plzz help,2
leceh arr nk tukar email susah login slow gilaa,-1
Very worst customer support I had order 3 item and i had received 1 product but they didn't provide money return,-1
Ireally feel special while shopping with Nykaa. thank you Nykaa,2
easy,2
helpfull,2
stupid full,-1
they are making fools in name of free product on certain amount (inr)...when u place they told u the product is out of stock so it was not added and they also have bad portal...does not inform proper ..worst service I ever experienced online portal,-1
cannot check places upating mysj stupid location bluetooth,-1
"Thus app is so disgusting. The support kamal, mary doesn't reply on timr. Take too much time to deliver the product. Worst app if you need your product on time. I'm a prime member still they behave like this.",-1
hi sejahtera apps email everything change status red green say days hello bro laa already informed condo management go n collect food n also buy necessity red go serious laa please something cleared status red like tht company expect us go back work,-1
user friendly informative,2
good,2
Just love love this app.,2
quick easy,2
easy access place many people,2
bakwas,-1
great app,2
problem like others already registered valid,2
Love this apps,2
cant update sejahtera apps,-1
Great,2
Nykaa is the best shopping application,2
suami saya ambil second dose tapi sampai sekarang partially vaccinated mcm mana dia nk travel please cpt update,-1
far days enjoyed much mother little hard get away comfort bringing workout home awesome,2
excellent,2
useful essential app,2
ok,1
excellent marilah kita sama sama menjaga penjarakan agar kita dapat memutuskan wabak covid ini kita jaga kita dan kita mesti menang kita masih belum selesa hampir bulan kita duduk dirumah berkurung malahan segala aktiviti harian menjadi terbatas kita mesti putuskan wabak ini dan kita boleh lalukan malahan kita hampir berjaya memutuskan wabak ini kepada angka dalam tempoh yang panjang penjarakan dijaga gunakan pelitup separuh muka kerap membasuh tangan dan mengunakan cecair sanitasi,2
best app ...i am happy because of the discount in all branded products ...loved it,2
rubbish stupid spends minutes text allowances even though says free download even real wants stupid,-1
location report keep flashing different check hotspot yes civid cases half hour later check ut said report cases poor,-1
I never got much cash back,-1
ok,1
rating minimum star coz cannot see bengali sutonmymj font please something coz days enough time laptop users bangladesh core want font supported adobe please fix issue asap,2
slow,-1
please stop check option many times forgot,-1
app bad already download got e wallet rm got,-1
informative user friendly interface seamless service really makes app brainer malaysians ayuh malaysia haha,2
works well,2
update prompt tu update status click submit show invalid employer id update better worst project,-1
sloww,-1
excellent,2
nice app love,1
best app skin related products,2
Its tooo goood,2
excellent,2
ok,1
"Placed an order last week n I got a message that it was dispatched. Then no show. Tracking not working, customer care doesn't connect u to the executive n even if u email, they don't reply. Cheapskate idiots are first to take ur money though. Bunch of frauds.",-1
must improved keeps asking log details every time try go back main page soo annoying,-1
easy use,2
amazing even mental illnesses although ask lot questions pimples,2
Offers are not right they give tester product.,-1
good information,2
wanted say change courier partners like example blue dart horrible delivery many times cancel order called customer return true happens many times specially give responsibility blue delivery another thing nykaa bring bew new offers make shopping interesting lower price least level,1
great tool eases patron get access places scan,2
great buying experience items good shape delivery packaging good,2
useful tracking activities,2
best fr everything,2
nice work,1
idk happened used almost year recently alarms stopped going orneith go spardically dont understand idk update need fix uninstalled,-1
Totally disgusting i just can't cancel my prepaid order which i orderd mistakenly...where the hell is the cancel options??,-1
Love nykaa,2
superb app..just loved it,2
useful,2
cant logon update update application crash need update vivo,-1
Cool app,2
wrote help desk missing vaccinations info digital certificate help desk response update latest version already refresh profile already also still missing try log also cannot please fix bug fast,-1
star isliye kyoki aap ispe k niche shopping nhi kr skte arre bhai ek nail paint psnd aayega kyo lu,1
"Now the problem arose when it comes on the limit which should exceed 1000/- for free shipping,kindly make it 500/- for free shipping instead of 1000/-",-1
Getting forced close since last update. Widget intermittent problems while; stops updating even triggered manually. AccuWeather really good service. Please correct widget equally good.,2
good system hard use app kid useless,-1
useless app long takes vaccine distribution,-1
good app check whether area green zone red zone thus alert,2
convenient however suggestion idle column could given temperature reading inserted would help ministry health great deal think,2
ca open order list,1
cant login mysejahtera already reset password received email reset password register new id login wrongly input name ask help ask login old id cant login delete cant even reset password login delete use mysejahtera without vaccine digital cert need bring along vaccine card annoying something lah many people use app maa,-1
good,2
one good beauty app available india,2
problem solved thanks,2
lousy app totally cant register resended otp almost ten times still havent received yet,-1
hey hello i requested for return but still i didnt get any call any confirmation even no approval i didnt get product which i ordered different size has given...after ordering product delivered within a day but not approved for return from ur side why? whats the hell is this...,-1
nice apps,1
using app newly hope make e happy,1
working need improvement uninstall,1
informative efficient,2
otp code problem never sent back phone,-1
system slow know much time need update information still changes,-1
problem regarding deletion old account still link ic cant access anymore email concern issue helpdesk via email web email back issue still yet resolve get vaccination booster date walkin get vaccination sheet still cant get booster ic still link old account new account new number please help resolve issue,-1
easy use,2
good,2
user friendly,1
good app,2
bad,-1
nice,2
much better notification system place affected pandemic users ever visited check place past days please improve,-1
excellent,2
sya kontak rapat jwab soalan di sejahtera sudah hari ke dua profile sya tidak update apabila sya uninstall app reinstall sejahtera app trus jdikan sya vaccination sdgkan sya da fully vaccine app bad,-1
good,2
best,2
addictive fun game controls phone difficult rush mode work weeks time tech support non existent also way many ad relation game play time sec long advertisment every sessions second play time often get eaten quickly,-1
srsly bad service,-1
nice app like,1
update slower phone,-1
"A good app. But major problem read PDF pages! It show blank pages. What hell! On PC, issue also same. Some errors 101 109 pop out. Please fix it. I begging you. Please. Make best PDF reader world.",2
good apps,2
Too expensive prices amazon can give you better price,-1
best apps ever,2
menyusahkan ada bug aku nk update alamat tak boleh helpdesk autobot yang tak membantu,-1
always lagging helpdesk helpful,-1
app generally useful convenient utility vaccine scheduling upsetting first eventually turned around well perfect time thank front liners thank malaysia government,2
useful app,2
great products,2
ok,1
I love Nykaa's service,2
great,2
Worst company.. they partnered with local delivery agency. No ethics... These e-commerce companies should be banned,-1
apps check inn lokasi yg perlu scan untuk rekod kkm,1
best contact tracing app world,2
loving app,2
fast reliable,2
reason downloaded app mom told literally make life easier since need type info whenever checked,2
nice apa,1
digital certificate update rakyat received booster doses digital certificate missing month calling hotline answer email responds please help umrah date near,-1
Slow. Need to reorganize filters.,-1
nice,1
surprise see much information facts figures well done,2
good,2
hi almost months since received nd dose via selangkah mysj still updating details already called jkjav mysj call centre even dm twitter still one respond submitted many times already mysj still one take action please resolve issue asap kind like useless apps us,-1
great roku since get control want watch like free dvr test chromcast available suggest getting roku physical remote zero buffing pretty amazing became cord cutter make wallet great,2
Worst aap.,-1
great,2
great apps loved,2
selalu forced stop kena uninstall dan install berkali kali restart hp pun dah berkali kali tapi masih berlaku hanya sempat ke kali scan kena uninstall balik please fix,-1
great,2
new app lets try first,2
bad,-1
cant function,-1
I love it!,2
best ever,2
forgot password request sms code slow,-1
ca log problem xperia c log sony related app time trying get blank wite screen happened updated android says supports,1
like malaysia,2
Nykaa- best online shopping experience,2
bagus,-1
great fan makes work easier providing requirements door step,2
This app has disturbed by giving so much adds,-1
"Fake products, return policy and customer service is very bad.",-1
